chunk_words,top_k,system,bleu,rouge1,rouge2,rougeL
100,3,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
100,3,rag_bm25,9.63100085662456,0.3140538251982853,0.1352175622227813,0.2260166322067396
100,3,rag_dense,6.041736450407593,0.2592850579365467,0.0833193581247754,0.1781010310066133
100,3,rag_hybrid,8.570658616597106,0.2989195295897924,0.1189220767462473,0.2165438663882075
100,5,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
100,5,rag_bm25,8.862170165658206,0.296147999950032,0.1300294337735178,0.2222062023999331
100,5,rag_dense,6.058436450159969,0.2578411126264216,0.082191466404861,0.1782385958594664
100,5,rag_hybrid,6.925064460447918,0.2701753807894737,0.0983665493422884,0.1979494868399892
100,7,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
100,7,rag_bm25,8.862170165658206,0.296147999950032,0.1300294337735178,0.2222062023999331
100,7,rag_dense,6.038176201534728,0.257225728011037,0.0819350561484508,0.1781232112440817
100,7,rag_hybrid,6.925064460447918,0.2701753807894737,0.0983665493422884,0.1979494868399892
100,10,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
100,10,rag_bm25,8.862170165658206,0.296147999950032,0.1300294337735178,0.2222062023999331
100,10,rag_dense,6.038176201534728,0.257225728011037,0.0819350561484508,0.1781232112440817
100,10,rag_hybrid,6.925064460447918,0.2701753807894737,0.0983665493422884,0.1979494868399892
200,3,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
200,3,rag_bm25,9.440945101677997,0.3053778428269026,0.133480005051694,0.2213455626997257
200,3,rag_dense,7.401152497144711,0.2907304376749174,0.1159269350156916,0.2113491157026132
200,3,rag_hybrid,8.822876042606792,0.3073029435156052,0.1311469351121157,0.2259841649527796
200,5,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
200,5,rag_bm25,9.440945101677997,0.3053778428269026,0.133480005051694,0.2213455626997257
200,5,rag_dense,7.401152497144711,0.2907304376749174,0.1159269350156916,0.2113491157026132
200,5,rag_hybrid,8.822876042606792,0.3073029435156052,0.1311469351121157,0.2259841649527796
200,7,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
200,7,rag_bm25,9.440945101677997,0.3053778428269026,0.133480005051694,0.2213455626997257
200,7,rag_dense,7.401152497144711,0.2907304376749174,0.1159269350156916,0.2113491157026132
200,7,rag_hybrid,8.822876042606792,0.3073029435156052,0.1311469351121157,0.2259841649527796
200,10,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
200,10,rag_bm25,9.440945101677997,0.3053778428269026,0.133480005051694,0.2213455626997257
200,10,rag_dense,7.401152497144711,0.2907304376749174,0.1159269350156916,0.2113491157026132
200,10,rag_hybrid,8.822876042606792,0.3073029435156052,0.1311469351121157,0.2259841649527796
300,3,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
300,3,rag_bm25,10.906066039565289,0.3345286108408828,0.1513320526314249,0.2503119976344969
300,3,rag_dense,10.398068676432503,0.337381117559127,0.1429616609192761,0.2500958181428598
300,3,rag_hybrid,11.434685063410187,0.3412913828952496,0.1542072989378632,0.2548643663910943
300,5,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
300,5,rag_bm25,10.906066039565289,0.3345286108408828,0.1513320526314249,0.2503119976344969
300,5,rag_dense,10.398068676432503,0.337381117559127,0.1429616609192761,0.2500958181428598
300,5,rag_hybrid,11.434685063410187,0.3412913828952496,0.1542072989378632,0.2548643663910943
300,7,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
300,7,rag_bm25,10.906066039565289,0.3345286108408828,0.1513320526314249,0.2503119976344969
300,7,rag_dense,10.398068676432503,0.337381117559127,0.1429616609192761,0.2500958181428598
300,7,rag_hybrid,11.434685063410187,0.3412913828952496,0.1542072989378632,0.2548643663910943
300,10,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
300,10,rag_bm25,10.906066039565289,0.3345286108408828,0.1513320526314249,0.2503119976344969
300,10,rag_dense,10.398068676432503,0.337381117559127,0.1429616609192761,0.2500958181428598
300,10,rag_hybrid,11.434685063410187,0.3412913828952496,0.1542072989378632,0.2548643663910943
500,3,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
500,3,rag_bm25,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,3,rag_dense,12.742071770147565,0.383042229363954,0.1802252412360266,0.2785194581068231
500,3,rag_hybrid,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,5,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
500,5,rag_bm25,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,5,rag_dense,12.742071770147565,0.383042229363954,0.1802252412360266,0.2785194581068231
500,5,rag_hybrid,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,7,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
500,7,rag_bm25,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,7,rag_dense,12.742071770147565,0.383042229363954,0.1802252412360266,0.2785194581068231
500,7,rag_hybrid,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,10,llm,10.924853358749612,0.3646651310272206,0.1760206212127922,0.2745502876429476
500,10,rag_bm25,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
500,10,rag_dense,12.742071770147565,0.383042229363954,0.1802252412360266,0.2785194581068231
500,10,rag_hybrid,12.74493932870873,0.3762222759744233,0.1762252786791011,0.2754043336016465
